binary_accuracy,loss,precision,recall,val_binary_accuracy,val_loss,val_precision,val_recall
0.8463355898857117,0.3544832766056061,0.7923076748847961,0.7304964661598206,0.9228650331497192,0.2104509025812149,0.9428571462631226,0.8181818127632141
0.9479907155036926,0.1627877801656723,0.929602861404419,0.9131205677986145,0.9476583003997803,0.15763993561267853,0.9636363387107849,0.8760330677032471
0.9497636556625366,0.1311502456665039,0.92998206615448,0.9184397459030151,0.9669421315193176,0.1343645453453064,0.9658119678497314,0.93388432264328
0.9651298522949219,0.10096395015716553,0.9484902024269104,0.9468085169792175,0.9614324569702148,0.1238810196518898,0.9652174115180969,0.9173553586006165
0.9810875654220581,0.06299687176942825,0.9750000238418579,0.9680851101875305,0.9641873240470886,0.11077797412872314,0.9576271176338196,0.93388432264328
0.9781321883201599,0.06233726814389229,0.9680284261703491,0.966312050819397,0.9669420719146729,0.08570647239685059,0.9430894255638123,0.9586777091026306
0.9846336245536804,0.048963963985443115,0.9786477088928223,0.9751772880554199,0.9641873836517334,0.10219991952180862,0.9821428656578064,0.9090909361839294
0.9852244853973389,0.04842378571629524,0.9803921580314636,0.9751772880554199,0.9696969985961914,0.07735676318407059,0.9661017060279846,0.942148745059967
0.979314386844635,0.054648853838443756,0.9681416153907776,0.9698581695556641,0.9724517464637756,0.06995874643325806,0.9512194991111755,0.9669421315193176
0.9881797432899475,0.03591369464993477,0.9822695255279541,0.9822695255279541,0.9669421315193176,0.07617533951997757,0.9739130139350891,0.9256198406219482
0.9846335053443909,0.04533359035849571,0.9752650260925293,0.978723406791687,0.9752066135406494,0.0696309357881546,0.9516128897666931,0.9752066135406494
0.9881795048713684,0.03210495039820671,0.9805653691291809,0.9840425252914429,0.9834710955619812,0.047488026320934296,0.9752066135406494,0.9752066135406494
0.9881797432899475,0.04220620542764664,0.9839857816696167,0.9804964661598206,0.9724517464637756,0.07940299808979034,0.9512194991111755,0.9669421315193176
0.988770604133606,0.02979312092065811,0.9857397675514221,0.9804964661598206,0.9752066135406494,0.055735960602760315,0.9666666388511658,0.9586777091026306
0.9899526834487915,0.024615716189146042,0.989266574382782,0.9804964661598206,0.9696969389915466,0.09865871071815491,0.9435483813285828,0.9669421315193176
0.9881797432899475,0.03772048279643059,0.9822695255279541,0.9822695255279541,0.9696969389915466,0.0698200911283493,0.9508196711540222,0.9586777091026306
0.9846336245536804,0.05127103254199028,0.9786477088928223,0.9751772880554199,0.9586777091026306,0.0985657200217247,0.9416666626930237,0.93388432264328
